epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.10644,2.40365,5.30232,2.86419,0.77428,0.11244,0.19553,0.03905,2.04038,3.89763,2.68439,0.00014,0.00014,0.00014
2,8.43053,1.91264,3.27131,2.39393,0.7379,0.93548,0.91234,0.54879,1.43599,2.02946,2.07127,0.00029703,0.00029703,0.00029703
3,11.5351,1.45475,2.23315,1.90782,0.85202,0.96774,0.93679,0.61814,1.30822,1.7818,1.84235,0.000450892,0.000450892,0.000450892
4,14.0997,1.40455,1.87228,1.73824,0.99851,1,0.995,0.66598,1.22972,1.58321,1.9496,0.000601586,0.000601586,0.000601586
5,16.4138,1.38556,1.60179,1.78216,0.99476,1,0.995,0.69479,1.09803,1.52905,1.77782,0.000749112,0.000749112,0.000749112
6,18.684,1.34889,1.4195,1.70312,0.7325,0.90323,0.83658,0.39123,1.84723,1.88225,3.08274,0.00089347,0.00089347,0.00089347
7,20.8639,1.27319,1.32504,1.63932,0.70747,0.83871,0.80183,0.4025,1.66163,1.69053,2.63694,0.00103466,0.00103466,0.00103466
8,23.025,1.2722,1.16891,1.67259,0.88466,0.96774,0.96149,0.62316,1.22756,1.18174,1.85357,0.00117268,0.00117268,0.00117268
9,25.2049,1.26975,1.10179,1.68528,1,0.96745,0.99406,0.69198,1.15767,1.10467,1.52993,0.00130754,0.00130754,0.00130754
10,27.2799,1.22337,1.06491,1.64587,0.99583,1,0.995,0.72819,1.08874,0.97541,1.49731,0.00143922,0.00143922,0.00143922
11,29.5042,1.21755,0.95863,1.59224,1,0.99454,0.995,0.67282,1.20004,0.88742,1.61807,0.00156774,0.00156774,0.00156774
12,31.9926,1.23259,0.89105,1.62382,0.93579,1,0.98955,0.72939,1.0002,0.70848,1.89103,0.00169309,0.00169309,0.00169309
13,34.0555,1.22091,0.92803,1.60614,0.99649,1,0.995,0.76602,1.00711,0.63821,1.88559,0.0017624,0.0017624,0.0017624
14,36.1557,1.1531,0.87072,1.61534,0.95869,1,0.99406,0.70513,1.11354,0.67526,1.87473,0.0017426,0.0017426,0.0017426
15,38.2194,1.09848,0.81533,1.57421,0.98914,1,0.995,0.7302,1.03166,0.6534,2.00447,0.0017228,0.0017228,0.0017228
16,40.3683,1.17295,0.8127,1.66252,0.9975,1,0.995,0.789,0.97038,0.64087,1.70982,0.001703,0.001703,0.001703
17,42.5339,1.18236,0.80248,1.70526,1,0.96476,0.99406,0.77232,0.90457,0.68683,1.73051,0.0016832,0.0016832,0.0016832
18,44.7487,1.09778,0.77798,1.62534,0.9978,1,0.995,0.79312,0.90405,0.61289,1.58065,0.0016634,0.0016634,0.0016634
19,46.8898,1.15618,0.77253,1.54049,0.99773,1,0.995,0.79158,0.90765,0.61718,1.82669,0.0016436,0.0016436,0.0016436
