epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,49.0055,1.08954,0.76244,1.58752,0.99331,1,0.995,0.74946,0.9292,0.63237,1.77057,0.0016238,0.0016238,0.0016238
21,51.1055,1.11327,0.77737,1.64783,0.9651,1,0.99406,0.7978,0.91234,0.61493,1.74282,0.001604,0.001604,0.001604
22,53.2582,1.08185,0.70914,1.50324,0.96158,0.96774,0.99221,0.75411,0.92625,0.62384,1.94188,0.0015842,0.0015842,0.0015842
23,55.434,1.07633,0.78332,1.63313,0.96484,1,0.99406,0.77111,0.88004,0.5521,1.52874,0.0015644,0.0015644,0.0015644
24,57.4998,1.09764,0.7371,1.56322,0.98471,1,0.995,0.77729,0.86249,0.57935,1.60536,0.0015446,0.0015446,0.0015446
25,59.8173,1.06919,0.68649,1.52073,0.99709,1,0.995,0.78102,0.81679,0.58535,1.46547,0.0015248,0.0015248,0.0015248
26,62.5883,1.03139,0.69696,1.53671,0.99773,1,0.995,0.78311,0.84901,0.55257,1.38427,0.001505,0.001505,0.001505
27,64.7251,1.08272,0.69005,1.49817,0.9955,1,0.995,0.78626,0.84122,0.53769,1.66078,0.0014852,0.0014852,0.0014852
28,66.7664,1.16525,0.83236,1.62434,0.99798,1,0.995,0.78472,0.86814,0.56724,1.84055,0.0014654,0.0014654,0.0014654
29,68.8542,1.06261,0.74288,1.56567,0.9974,1,0.995,0.77742,0.88916,0.52615,1.83312,0.0014456,0.0014456,0.0014456
30,70.9132,0.99279,0.67536,1.45844,0.99638,1,0.995,0.79942,0.84534,0.5615,1.65237,0.0014258,0.0014258,0.0014258
31,72.99,1.02869,0.66295,1.4616,0.99703,1,0.995,0.75104,0.9406,0.56535,1.77626,0.001406,0.001406,0.001406
32,75.0491,0.99486,0.64422,1.52343,0.99443,1,0.995,0.77786,0.83894,0.50998,1.66869,0.0013862,0.0013862,0.0013862
33,77.1072,1.0173,0.66984,1.51701,0.99596,1,0.995,0.78659,0.80778,0.50113,1.74107,0.0013664,0.0013664,0.0013664
34,79.2152,0.97686,0.65722,1.48314,0.99774,1,0.995,0.77943,0.87453,0.49249,1.85167,0.0013466,0.0013466,0.0013466
35,81.2664,0.93841,0.64729,1.4638,0.99774,1,0.995,0.7687,0.92926,0.52185,1.94572,0.0013268,0.0013268,0.0013268
36,83.3282,1.02715,0.67473,1.60631,0.99796,1,0.995,0.83043,0.76203,0.4784,1.58544,0.001307,0.001307,0.001307
37,85.4102,0.95006,0.61922,1.43344,0.968,1,0.995,0.75303,0.87946,0.52101,1.85009,0.0012872,0.0012872,0.0012872
38,87.4508,0.99085,0.64935,1.49501,1,0.99503,0.995,0.78766,0.85842,0.53131,1.81295,0.0012674,0.0012674,0.0012674
39,89.5122,1.01934,0.66367,1.49913,0.99669,1,0.995,0.81587,0.82421,0.50327,1.7009,0.0012476,0.0012476,0.0012476
40,91.5865,0.9338,0.58718,1.37033,0.99553,1,0.995,0.78635,0.84496,0.50114,1.72908,0.0012278,0.0012278,0.0012278
41,93.9895,0.9609,0.65519,1.47869,0.99721,1,0.995,0.79059,0.7935,0.49602,1.61129,0.001208,0.001208,0.001208
42,96.1129,0.89569,0.56155,1.38503,0.99787,1,0.995,0.80621,0.8109,0.46145,1.63068,0.0011882,0.0011882,0.0011882
43,98.1695,0.90199,0.58143,1.51493,0.99788,1,0.995,0.82453,0.77346,0.45536,1.63399,0.0011684,0.0011684,0.0011684
44,100.261,0.8892,0.59282,1.40166,0.99686,1,0.995,0.82773,0.82861,0.47658,1.65315,0.0011486,0.0011486,0.0011486
45,102.315,0.90616,0.60077,1.50223,0.99788,1,0.995,0.8108,0.80407,0.47188,1.76351,0.0011288,0.0011288,0.0011288
46,104.412,0.90512,0.62366,1.4888,0.99812,1,0.995,0.81385,0.79977,0.47522,1.66518,0.001109,0.001109,0.001109
47,106.477,0.91462,0.59909,1.4607,0.99801,1,0.995,0.83393,0.75893,0.46359,1.46613,0.0010892,0.0010892,0.0010892
48,108.53,0.89043,0.55513,1.4192,0.99255,1,0.995,0.83595,0.7294,0.46534,1.48456,0.0010694,0.0010694,0.0010694
49,110.578,0.87764,0.56698,1.45587,0.96674,1,0.99406,0.81883,0.76008,0.47939,1.56224,0.0010496,0.0010496,0.0010496
50,112.628,0.87964,0.58071,1.43451,0.99818,1,0.995,0.82318,0.76353,0.45219,1.75038,0.0010298,0.0010298,0.0010298
51,114.71,0.82402,0.53962,1.39863,0.99813,1,0.995,0.82555,0.79709,0.44428,1.87686,0.00101,0.00101,0.00101
52,116.779,0.82476,0.53792,1.33817,0.99832,1,0.995,0.82613,0.79867,0.44311,1.81616,0.0009902,0.0009902,0.0009902
53,118.88,0.84782,0.54125,1.34616,0.99819,1,0.995,0.80926,0.82911,0.43431,1.8943,0.0009704,0.0009704,0.0009704
54,120.961,0.90875,0.60646,1.42698,0.99804,1,0.995,0.82143,0.81784,0.44056,1.79284,0.0009506,0.0009506,0.0009506
55,123.052,0.85487,0.5622,1.42827,0.99769,1,0.995,0.82459,0.75712,0.43355,1.69599,0.0009308,0.0009308,0.0009308
56,125.48,0.85732,0.57023,1.43095,0.99751,1,0.995,0.82071,0.74077,0.45873,1.78167,0.000911,0.000911,0.000911
57,127.548,0.83346,0.58974,1.36446,0.99692,1,0.995,0.81362,0.76363,0.45398,1.84889,0.0008912,0.0008912,0.0008912
58,129.609,0.80845,0.54477,1.38131,0.99733,1,0.995,0.80332,0.82049,0.44967,1.91469,0.0008714,0.0008714,0.0008714
59,131.683,0.7583,0.53373,1.34541,0.99747,1,0.995,0.81175,0.78607,0.45578,1.78911,0.0008516,0.0008516,0.0008516
60,133.77,0.83383,0.54247,1.35895,0.99803,1,0.995,0.82185,0.74878,0.42813,1.63335,0.0008318,0.0008318,0.0008318
61,135.869,0.88203,0.63177,1.45422,0.99623,1,0.995,0.82457,0.7551,0.4436,1.67593,0.000812,0.000812,0.000812
62,137.936,0.8232,0.54683,1.40071,0.99818,1,0.995,0.80559,0.78336,0.45716,1.81775,0.0007922,0.0007922,0.0007922
63,139.998,0.79359,0.5381,1.41975,0.99801,1,0.995,0.83128,0.72482,0.43621,1.65743,0.0007724,0.0007724,0.0007724
64,142.043,0.82964,0.55827,1.37648,0.99799,1,0.995,0.81438,0.73059,0.41431,1.61694,0.0007526,0.0007526,0.0007526
65,144.169,0.74536,0.50499,1.34379,0.99716,1,0.995,0.83169,0.71218,0.41658,1.70706,0.0007328,0.0007328,0.0007328
66,146.262,0.8112,0.55359,1.39056,0.99805,1,0.995,0.83546,0.7347,0.41837,1.68712,0.000713,0.000713,0.000713
67,148.355,0.82936,0.51933,1.38561,0.99546,1,0.995,0.81333,0.7708,0.43355,1.68507,0.0006932,0.0006932,0.0006932
68,150.446,0.80137,0.55497,1.37465,0.99802,1,0.995,0.82592,0.77138,0.45176,1.59157,0.0006734,0.0006734,0.0006734
69,152.497,0.77051,0.53232,1.37167,0.99797,1,0.995,0.83506,0.71499,0.4631,1.3974,0.0006536,0.0006536,0.0006536
70,154.57,0.80712,0.52438,1.37397,0.998,1,0.995,0.83388,0.71546,0.44955,1.44649,0.0006338,0.0006338,0.0006338
71,157.014,0.78061,0.50753,1.36772,0.99795,1,0.995,0.83815,0.72612,0.41973,1.52032,0.000614,0.000614,0.000614
72,159.074,0.79523,0.54296,1.36443,0.98994,1,0.995,0.82868,0.73533,0.42593,1.55311,0.0005942,0.0005942,0.0005942
73,161.169,0.7619,0.52522,1.34188,0.99723,1,0.995,0.80145,0.74474,0.44766,1.64505,0.0005744,0.0005744,0.0005744
74,163.223,0.74252,0.52947,1.32365,0.99294,1,0.995,0.80757,0.74178,0.42576,1.76093,0.0005546,0.0005546,0.0005546
75,165.336,0.75333,0.5213,1.2943,0.9958,1,0.995,0.82251,0.72037,0.4309,1.76665,0.0005348,0.0005348,0.0005348
76,167.451,0.76644,0.51596,1.32914,0.99773,1,0.995,0.82736,0.70995,0.41904,1.77255,0.000515,0.000515,0.000515
77,169.536,0.71015,0.46159,1.2706,0.99824,1,0.995,0.84089,0.67979,0.40483,1.82843,0.0004952,0.0004952,0.0004952
78,171.597,0.71164,0.49733,1.3478,0.99831,1,0.995,0.83681,0.67098,0.41037,1.78476,0.0004754,0.0004754,0.0004754
79,173.654,0.66506,0.47814,1.26516,0.9988,1,0.995,0.84145,0.682,0.4039,1.74364,0.0004556,0.0004556,0.0004556
80,175.721,0.72673,0.50527,1.36074,0.9983,1,0.995,0.81193,0.69191,0.42285,1.73432,0.0004358,0.0004358,0.0004358
81,177.788,0.69095,0.49104,1.29048,0.99789,1,0.995,0.82235,0.69172,0.42142,1.75997,0.000416,0.000416,0.000416
82,179.847,0.70591,0.51612,1.32117,0.99784,1,0.995,0.82798,0.68267,0.42844,1.72148,0.0003962,0.0003962,0.0003962
83,181.953,0.71279,0.48536,1.33422,0.99761,1,0.995,0.84036,0.69121,0.4381,1.71086,0.0003764,0.0003764,0.0003764
84,184.011,0.71144,0.46266,1.34118,0.99801,1,0.995,0.84069,0.71088,0.44059,1.68161,0.0003566,0.0003566,0.0003566
85,186.078,0.66169,0.45757,1.29659,0.99802,1,0.995,0.82951,0.74268,0.44179,1.73253,0.0003368,0.0003368,0.0003368
86,188.517,0.70024,0.48567,1.35765,0.98976,1,0.995,0.83623,0.73302,0.43314,1.78961,0.000317,0.000317,0.000317
87,190.58,0.68244,0.47362,1.34043,0.9852,1,0.995,0.8331,0.70753,0.41503,1.80626,0.0002972,0.0002972,0.0002972
88,192.629,0.65501,0.46699,1.29358,0.99799,1,0.995,0.83599,0.68928,0.41182,1.73246,0.0002774,0.0002774,0.0002774
89,194.662,0.67596,0.45271,1.30852,0.99778,1,0.995,0.83094,0.67542,0.41575,1.6639,0.0002576,0.0002576,0.0002576
90,196.719,0.66404,0.47468,1.31009,0.99779,1,0.995,0.84445,0.66965,0.41438,1.66089,0.0002378,0.0002378,0.0002378
91,240.252,0.45843,0.34386,1.12572,0.9978,1,0.995,0.83535,0.6767,0.40513,1.66791,0.000218,0.000218,0.000218
92,242.547,0.45981,0.34403,1.10007,0.99771,1,0.995,0.84036,0.68009,0.39638,1.6461,0.0001982,0.0001982,0.0001982
93,244.758,0.43873,0.33754,1.10007,0.99759,1,0.995,0.84822,0.6786,0.40592,1.6265,0.0001784,0.0001784,0.0001784
94,246.899,0.44307,0.33394,1.11315,0.99753,1,0.995,0.83757,0.67464,0.40726,1.62648,0.0001586,0.0001586,0.0001586
95,248.986,0.42561,0.32878,1.11597,0.99768,1,0.995,0.84073,0.66686,0.40223,1.62431,0.0001388,0.0001388,0.0001388
96,251.069,0.44593,0.33392,1.1192,0.99792,1,0.995,0.83756,0.6614,0.39825,1.61527,0.000119,0.000119,0.000119
97,253.152,0.43999,0.33283,1.08208,0.99798,1,0.995,0.83333,0.65835,0.3966,1.61591,9.92e-05,9.92e-05,9.92e-05
98,255.216,0.42321,0.31839,1.07882,0.99788,1,0.995,0.84661,0.65033,0.39695,1.61462,7.94e-05,7.94e-05,7.94e-05
99,257.276,0.41938,0.3148,1.13124,0.9977,1,0.995,0.85178,0.649,0.39027,1.63202,5.96e-05,5.96e-05,5.96e-05
100,259.441,0.44756,0.33552,1.12826,0.99763,1,0.995,0.84912,0.65083,0.38944,1.63548,3.98e-05,3.98e-05,3.98e-05
